"lnRR","Env_Type"
"0.435633003","Normal"
"0.542210592","Normal"
"0.605531907","Normal"
"0.631254888","Normal"
"0.677410435","Normal"
"0.640233069","Normal"
"0.465260206","Normal"
"0.370586107","Normal"
"0.714350276","GFR"
"0.611897817","GFR"
"0.575701622","PFR"
"0.413403234","PFR"
"0.378070078","GFR"
"0.39215786","GFR"
"0.257921118","GFR"
"0.372868434","GFR"
"0.21841699","GFR"
"0.227904999","GFR"
"0.595709863","GFR"
"0.586902422","GFR"
"0.043296806","Normal"
"0.286485471","Normal"
"0.29284095","Normal"
"0.088264111","Normal"
"0.283428669","Normal"
"0.222087399","Normal"
"0.057457503","Normal"
"0.112029025","Normal"
"0.148371304","Normal"
"0.658779537","GFR"
"0.856425956","GFR"
"1.043042437","GFR"
"1.138352618","GFR"
"1.101984974","GFR"
"0.518274448","GFR"
"0.818859925","GFR"
"0.943942263","GFR"
"0.998200854","GFR"
"0.986653381","GFR"
"0.570544452","GFR"
"0.302282114","GFR"
"1.110307913","GFR"
"1.048607099","Normal"
"0.833263388","Normal"
"0.140245698","PFR"
"0.100876996","PFR"
"0.179558966","PFR"
"0.240901694","PFR"
"0.232592816","PFR"
"0.392178182","PFR"
"0.411949957","PFR"
"0.373226979","PFR"
"0.331834435","PFR"
"0.543242189","PFR"
"0.590030016","PFR"
"0.562887727","PFR"
"0.254022513","PFR"
"0.428606161","PFR"
"0.456750464","PFR"
"0.419976501","PFR"
"0.209596013","PFR"
"0.382789612","PFR"
"0.483670397","PFR"
"0.445168374","PFR"
"0.14022938","PFR"
"0.203840671","PFR"
"0.263610524","PFR"
"0.167549519","PFR"
"0.178430663","PFR"
"0.288921548","PFR"
"0.407104668","PFR"
"0.350449926","PFR"
"0.318528242","PFR"
"0.532622412","PFR"
"0.551118269","PFR"
"0.486584145","PFR"
"0.132029272","PFR"
"0.220836468","PFR"
"0.239797173","PFR"
"0.285356135","PFR"
"0.302049964","PFR"
"0.455713894","PFR"
"0.552693342","PFR"
"0.466683602","PFR"
"0.083149692","PFR"
"0.23120298","PFR"
"0.189042513","PFR"
"0.129912497","PFR"
"0.23120298","PFR"
"0.310540278","PFR"
"0.258353755","PFR"
"0.372160901","PFR"
"0.256719119","PFR"
"0.363964979","PFR"
"0.437466836","PFR"
"0.425585603","PFR"
"0.271658829","PFR"
"0.297747036","PFR"
"0.34796637","PFR"
"0.310540278","PFR"
"0.289232654","PFR"
"0.419852967","PFR"
"0.407532585","PFR"
"0.419852967","PFR"
"0.144490202","PFR"
"0.113428163","PFR"
"0.187476518","PFR"
"0.229022264","PFR"
"0.21419388","PFR"
"0.378858852","PFR"
"0.342622262","PFR"
"0.478140236","PFR"
"0.061694677","PFR"
"0.33675787","PFR"
"0.347749744","PFR"
"0.347171323","PFR"
"0.254268118","PFR"
"0.278501315","PFR"
"0.325696582","PFR"
"0.277433926","PFR"
"0.446100536","PFR"
